,"[""tally"", ""NW_Not_Overdue""]","[""tally"", ""SW_Not_Overdue""]","[""tally"", ""NE_Overdue""]","[""tally"", ""SW_Overdue""]","[""tally"", ""NE_Not_Overdue""]","[""tally"", ""SE_Not_Overdue""]","[""tally"", ""NULL""]","[""tally"", ""SE_Overdue""]","[""tally"", ""NW_Overdue""]"
"index:[""Add A Can""] for #<Daru::Vector: Add A Can(9)>",8,20,5,1,11,7,2,,
"index:[""Add A Can CANCELLATION""] for #<Daru::Vector: Add A Can CANCELLATION(9)>",4,4,,2,2,10,,2,
"index:[""Add A Cart""] for #<Daru::Vector: Add A Cart(9)>",,,,,,,2,,
"index:[""Add A Cart CANCELLATION""] for #<Daru::Vector: Add A Cart CANCELLATION(9)>",2,,,,,,,,
"index:[""Container Placement""] for #<Daru::Vector: Container Placement(9)>",1,2,,,,1,,1,
"index:[""Container Problem""] for #<Daru::Vector: Container Problem(9)>",78,56,144,52,61,75,2,37,28
"index:[""Dead Animal Collection""] for #<Daru::Vector: Dead Animal Collection(9)>",9,4,,1,13,12,22,10,2
"index:[""Dumpster Complaint""] for #<Daru::Vector: Dumpster Complaint(9)>",3,,2,,2,3,5,2,1
"index:[""Employee Commendation""] for #<Daru::Vector: Employee Commendation(9)>",1,,,,1,,,,
"index:[""Miss Complaint""] for #<Daru::Vector: Miss Complaint(9)>",,,,,,,4,,
"index:[""Missed Garbage Pickup""] for #<Daru::Vector: Missed Garbage Pickup(9)>",16,49,3,15,3,8,,25,
"index:[""Missed Heavy Trash Pickup""] for #<Daru::Vector: Missed Heavy Trash Pickup(9)>",134,67,80,27,13,249,6,157,34
"index:[""Missed Recycling Pickup""] for #<Daru::Vector: Missed Recycling Pickup(9)>",5,29,3,44,,15,1,46,1
"index:[""Missed Yard Waste Pickup""] for #<Daru::Vector: Missed Yard Waste Pickup(9)>",15,32,,1,,2,,,2
"index:[""New Move In Service""] for #<Daru::Vector: New Move In Service(9)>",1,,,,,1,,1,
"index:[""New Resident Container""] for #<Daru::Vector: New Resident Container(9)>",50,11,2,,17,21,9,9,44
"index:[""New Resident in Private Development""] for #<Daru::Vector: New Resident in Private Development(9)>",,,,,,,1,,
"index:[""Non Residential Collection Service NEW""] for #<Daru::Vector: Non Residential Collection Service NEW(9)>",,,,,1,,,1,
"index:[""Personnel or Vehicle Complaint""] for #<Daru::Vector: Personnel or Vehicle Complaint(9)>",2,4,7,8,3,3,3,6,2
"index:[""Physically Challenged Pickup""] for #<Daru::Vector: Physically Challenged Pickup(9)>",6,2,5,3,9,2,,8,4
"index:[""Property Damage""] for #<Daru::Vector: Property Damage(9)>",1,1,,1,,1,,15,
"index:[""Recycle Bin/Cart Retrieve""] for #<Daru::Vector: Recycle Bin/Cart Retrieve(9)>",3,3,,,,,1,,2
"index:[""Recycling Cart Repair or Replace""] for #<Daru::Vector: Recycling Cart Repair or Replace(9)>",49,67,10,7,28,32,1,6,5
"index:[""Recycling Participation NEW""] for #<Daru::Vector: Recycling Participation NEW(9)>",70,25,13,2,23,47,10,,18
"index:[""SWM Escalation""] for #<Daru::Vector: SWM Escalation(9)>",9,7,27,8,7,10,,19,4
"index:[""SWM Information""] for #<Daru::Vector: SWM Information(9)>",,,,,2,1,,1,
"index:[""Spilled Debris""] for #<Daru::Vector: Spilled Debris(9)>",,1,2,1,,,,4,1
"index:[""Storm Debris Collection""] for #<Daru::Vector: Storm Debris Collection(9)>",,,1,1,1,,,,
"index:[""Trash Dumping or Illegal Dumpsite""] for #<Daru::Vector: Trash Dumping or Illegal Dumpsite(9)>",34,9,9,1,81,143,40,1,10
"index:[""Uncollected Service Units""] for #<Daru::Vector: Uncollected Service Units(9)>",,,,,,,17295,,
